keyword,volume,kd,intent,source,target_url
aqa gcse biology past papers,2900,35,"Informational, Commercial",aqa-past-papers,
aqa geography gcse past papers,2900,,Informational,aqa-past-papers,
aqa past papers english,2900,41,Informational,aqa-past-papers,
english lit aqa past papers,2900,,"Informational, Commercial",aqa-past-papers,
english lit past papers gcse aqa,2900,23,"Informational, Commercial",aqa-past-papers,
ccea past papers gcse,2900,21,Navigational,gcse-past-papers,
gcse biology past papers,2900,28,"Informational, Commercial",gcse-past-papers,
gcse english language past papers,2900,33,"Informational, Commercial",gcse-past-papers,
english paper 1 past papers,2900,31,informational,strategy-csv,https://www.past-papers.co.uk/a-level/english-literature
biology paper 1 topics,2900,28,informational,strategy-csv,https://www.past-papers.co.uk/gcse/biology
a level physics,2900,43,"informational, commercial",strategy-csv,https://www.past-papers.co.uk/a-level/physics/aqa
further maths gcse,2900,24,informational,strategy-csv,https://www.past-papers.co.uk/gcse/further-maths/ocr
language paper 1 aqa,2900,34,"informational, commercial",strategy-csv,https://www.past-papers.co.uk/gcse/english-literature/aqa
ocr a chemistry a level,2900,28,"informational, transactional",strategy-csv,https://www.past-papers.co.uk/a-level/chemistry/ocr
gcse english,2900,45,informational,strategy-csv,https://www.past-papers.co.uk/gcse
biology revision,2900,37,"informational, commercial",strategy-csv,https://www.past-papers.co.uk/gcse/biology/ocr
physics paper 2,2900,30,"informational, commercial",strategy-csv,https://www.past-papers.co.uk/a-level/physics/ocr
exam q,2900,52,navigational,strategy-csv,https://www.past-papers.co.uk/a-level
economics a level,2900,35,informational,strategy-csv,https://www.past-papers.co.uk/a-level/economics
chemistry as and a level,2900,27,"informational, commercial",strategy-csv,https://www.past-papers.co.uk/a-level/chemistry/edexcel
algebra questions,2900,29,informational,strategy-csv,https://www.past-papers.co.uk/gcse/maths/aqa/algebra
aqa gcse science biology specification,2900,33,navigational,strategy-csv,https://www.past-papers.co.uk/gcse/biology/aqa
aqa a level maths formula booklet,2900,7,"informational, commercial",strategy-csv,https://www.past-papers.co.uk/a-level/maths/aqa
a level maths edexcel formula booklet,2900,22,informational,strategy-csv,https://www.past-papers.co.uk/a-level/maths/edexcel
edexcel maths formula booklet,2900,24,informational,strategy-csv,https://www.past-papers.co.uk/a-level/maths/edexcel
simple interest formula,2900,40,informational,strategy-csv,https://www.past-papers.co.uk/gcse/maths/edexcel/number/compound-interest
gcse aqa physics specification,2900,28,navigational,strategy-csv,https://www.past-papers.co.uk/gcse/physics/aqa
science revision,2900,38,informational,strategy-csv,https://www.past-papers.co.uk/gcse/combined-science
edexcel a level business past papers,2400,20,Informational,edexcel-past-papers,
edexcel business a level past papers,2400,26,Informational,edexcel-past-papers,
edexcel maths gcse past papers,2400,26,"Informational, Commercial",edexcel-past-papers,
aqa a level geography past papers,2400,,"Informational, Commercial",aqa-past-papers,
aqa a level maths past papers,2400,22,"Informational, Commercial",aqa-past-papers,
aqa gcse chemistry past papers,2400,30,"Informational, Commercial",aqa-past-papers,
aqa gcse english language past papers,2400,36,Informational,aqa-past-papers,
aqa gcse geography past papers,2400,38,Informational,aqa-past-papers,
aqa gcse past papers,2400,44,Informational,aqa-past-papers,
aqa gcse physics past papers,2400,30,Informational,aqa-past-papers,
aqa history gcse past papers,2400,18,"Informational, Commercial",aqa-past-papers,
aqa past papers maths,2400,41,Informational,aqa-past-papers,
aqa science past papers,2400,34,Informational,aqa-past-papers,
combined science aqa past papers,2400,30,Informational,aqa-past-papers,
combined science past papers aqa,2400,37,Informational,aqa-past-papers,
english aqa past papers,2400,39,Informational,aqa-past-papers,
english lit past papers aqa,2400,24,"Informational, Commercial",aqa-past-papers,
chemistry past papers aqa,2400,24,"informational, commercial",strategy-csv,https://www.past-papers.co.uk/gcse/chemistry/aqa
a level biology past papers,2400,22,"Informational, Commercial",a-level-past-papers,
a level further maths past papers,2400,25,Informational,a-level-past-papers,
a level psychology past papers,2400,25,"Informational, Commercial",a-level-past-papers,
further maths gcse past papers,2400,19,"Informational, Commercial",gcse-past-papers,
gcse chemistry past papers,2400,30,Informational,gcse-past-papers,
gcse geography past papers,2400,26,Commercial,gcse-past-papers,
english language past paper 1,2400,29,"informational, commercial",strategy-csv,https://www.past-papers.co.uk/a-level/english-literature
english lit past papers,2400,22,"informational, commercial",strategy-csv,https://www.past-papers.co.uk/a-level/english-literature
